Daily_Date,new_accounts
1/1/2023,512
1/2/2023,501
1/3/2023,500
1/4/2023,483
1/5/2023,473
1/6/2023,470
1/7/2023,476
1/8/2023,452
1/9/2023,438
1/10/2023,435
1/11/2023,444
1/12/2023,445
1/13/2023,442
1/14/2023,429
1/15/2023,419
1/16/2023,401
1/17/2023,415
1/18/2023,421
1/19/2023,410
1/20/2023,417
1/21/2023,415
1/22/2023,404
1/23/2023,414
1/24/2023,419
1/25/2023,434
1/26/2023,456
1/27/2023,486
1/28/2023,513
1/29/2023,529
1/30/2023,538
1/31/2023,552
2/1/2023,565
2/2/2023,581
2/3/2023,613
2/4/2023,622
2/5/2023,624
2/6/2023,629
2/7/2023,637
2/8/2023,704
2/9/2023,751
2/10/2023,764
2/11/2023,780
2/12/2023,777
2/13/2023,771
2/14/2023,769
2/15/2023,789
2/16/2023,790
2/17/2023,784
2/18/2023,796
2/19/2023,874
2/20/2023,"1,001"
2/21/2023,"1,048"
2/22/2023,"1,064"
2/23/2023,"1,077"
2/24/2023,"1,144"
2/25/2023,"1,187"
2/26/2023,"1,222"
2/27/2023,"1,238"
2/28/2023,"1,284"
3/1/2023,"1,297"
3/2/2023,"1,380"
3/3/2023,"1,482"
3/4/2023,"1,567"
3/5/2023,"2,522"
3/6/2023,"3,679"
3/7/2023,"4,083"
3/8/2023,"4,169"
3/9/2023,"4,271"
3/10/2023,"4,385"
3/11/2023,"4,470"
3/12/2023,"4,769"
3/13/2023,"4,819"
3/14/2023,"4,870"